ES;WFN
1670;312
551;303
307;286
297;271
289;262
275;230
255;213
252;180
246;177
244;172
241;169
236;157
230;146
227;145
218;142
218;139
216;136
215;133
203;128
200;127
200;125
194;122
193;119
187;118
187;109
186;107
181;107
178;104
175;102
174;95
174;93
164;92
164;92
159;91
158;88
157;86
156;83
154;82
150;81
150;81
149;81
147;80
145;80
139;79
138;78
135;76
134;75
130;75
128;74
